"","CountryName","ISO2","Year","scale20","S_GDPpercapitaUS","S_RealGDPgrowth","S_NetGGdebtGDP","S_GGbalanceGDP","S_NarrownetextdebtCARs","S_CurrentaccountbalanceGDP","ln_S_GDPpercapitaUS","ln_S_GDPpercapitaUS_Z","S_RealGDPgrowth_Z"
"29","Belarus","BY",2019,6,6115.18156659509,0.088321471342911,35.8794726658608,2.41505798603974,88.3819139849898,-1.91790483580022,8.71852973968294,-0.726202178164634,0.119490678711214
"30","Belarus","BY",2020,6,6145.62776542217,0.00497878901803883,35.0249006175978,-0.109018786051208,88.5333916149441,-4.12169260443729,8.72349617551657,-0.738417484816042,0.0673555472314382
"31","Bolivia","BO",2015,9,2881.21187438744,0.04350521209929,21.9516903376518,-5.57163066966588,-27.344045015884,-2.22243810320754,7.96596627434069,-1.39780993028523,0.574048710242057
"32","Bolivia","BO",2016,9,2900.63074692313,0.00673982802456075,29.2151005699965,-7.6251388316794,-25.4608488240722,-9.50246595197038,7.97268349126411,-1.29317712793037,1.18477050204941
"33","Bolivia","BO",2017,9,2992.26462483462,0.0315910179221173,29.0184261453166,-5.42790143469791,-5.49982451910439,-8.43210508804986,8.00378577931263,-1.26235657913891,0.399336332065017
"34","Bolivia","BO",2018,8,3222.66674477278,0.0769992459978002,35.5255767704493,-8.01507852477022,17.5825723248603,-8.33605552881996,8.07796447739175,-1.27335239335478,-0.0890140995918553
"35","Bolivia","BO",2019,8,3434.83605733705,0.0658365662252907,38.4983143750493,-8.64304910162626,36.5546109076753,-7.90300681897409,8.1417244763958,-1.28442074560059,-0.358327994405436
"36","Bolivia","BO",2020,8,3620.45000434349,0.0540386626633751,42.9353183276587,-7.92246824593986,48.5489702470692,-8.55792502543461,8.19435360768602,-1.26167189419039,1.2350289902571
"37","Bosnia and Herzegovina","BA",2015,6,5104.19260703263,0.0311054980064251,39.5083690412974,-2.96893034822504,56.6019997361185,-8.40303961824079,8.53781756080021,-0.853511240424503,0.371396357267248
"38","Bosnia and Herzegovina","BA",2016,6,4501.31772668985,-0.118113661994677,38.9158304968918,-0.206626117849018,52.7918927259493,-6.14686000007576,8.41212546104591,-0.86992869093778,-0.113690626312949
"39","Bosnia and Herzegovina","BA",2017,6,4731.45252038973,0.0511260941069185,36.2953489390388,0.495339774288781,43.7889920552662,-5.65677829575478,8.46198752110765,-0.820624615739505,0.65547607536632
"40","Bosnia and Herzegovina","BA",2018,6,5051.581407692,0.0676597484435704,31.4335056286321,1.65958492483747,39.9500690160335,-5.4730691382813,8.52745662328619,-0.83725297809912,-0.281128624895036
"41","Bosnia and Herzegovina","BA",2019,6,5526.0629160366,0.0939273209815272,30.3870456543232,0.938206390049595,40.5151922673144,-5.2984049907282,8.61723089087577,-0.824236821506475,0.238618583499034
"42","Bosnia and Herzegovina","BA",2020,6,5491.48159077467,-0.0062578594900865,29.6284384275206,-0.346504419212244,44.0538900618913,-6.35413185571665,8.61095336891006,-0.849707944855312,-0.200087784286378
"43","Bulgaria","BG",2015,10,7660.13533634147,0.031190540517797,24.0840809846888,-6.71459479689095,19.146464425898,-0.270794868350446,8.94378493050826,-0.467103947671235,0.372786233267882
"44","Bulgaria","BG",2016,10,6875.64228808896,-0.102412426648743,23.8457404849504,-2.82883768240351,3.15319314959451,-1.22030963914723,8.83574034189308,-0.461924111187714,0.0496003138187516
"45","Bulgaria","BG",2017,11,7384.83889231632,0.0740580418369747,21.189687532235,-0.755213145349555,-9.9286426484943,2.13582423652128,8.90718437919825,-0.391430083538044,0.956154872285753
"46","Bulgaria","BG",2018,11,8038.85865457391,0.0885624956474103,24.231523714247,-0.734363100543155,1.66346880574516,1.428520861577,8.99204239370964,-0.386509656623267,0.148843258847189
"47","Bulgaria","BG",2019,12,9055.52816315604,0.126469384805474,23.7234347231927,-0.387499704078615,3.79510331588148,2.97611778071325,9.11113069696061,-0.346252205626986,0.930158337636158
"48","Bulgaria","BG",2020,12,9352.85913746639,0.0328341946436761,20.3132368776369,-1.6133849412239,-8.23400383106649,2.93294731245772,9.14343736564182,-0.323149289116248,0.730341710402207
"49","Chile","CL",2015,17,14297.1897892323,-0.0764033576113375,6.98363222293766,-2.71353953833579,42.7441782258649,-3.09817260403888,9.56781827870025,0.126862599039248,-1.38565403868546
"50","Chile","CL",2016,17,13245.3332970576,-0.0735708560689911,8.70350501600613,-3.2500198620377,49.4003969114188,-3.71312064796124,9.49140056538032,0.169574889526719,0.349549144027312
"51","Chile","CL",2017,16,13426.4731837414,0.0136757514983776,12.9297148307865,-3.78246405943278,44.9132413717068,-2.93438663348565,9.50498364771359,0.184881659768569,0.164435188115482
"52","Chile","CL",2018,16,14684.6050416644,0.0937053119389979,16.709731076798,-3.7516789738257,54.3821228694166,-3.5138991226287,9.59455494791281,0.198050885695763,0.254631573994009
"53","Chile","CL",2019,16,15636.432782168,0.0648180688416857,16.8696983303138,-2.25907939918647,55.8578214012353,-4.07509005230947,9.65735890510284,0.182374607007476,-0.379971717866183
"54","Chile","CL",2020,16,14773.0267125256,-0.0552175858567358,19.3836260053151,-4.67948271649573,58.0009017235807,-4.35414538895404,9.60055827751909,0.128884902231588,-1.36537762317642
"55","China","CN",2015,17,7491.25093985392,0.0890866457310517,16.2700563994261,-1.46399056799987,-84.1834950486457,1.16478781649588,8.92149107723261,-0.488323651844687,1.31900014285266
